id,name,artists,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,y,duration_min
1g2CnNmZ7WkdIz2QjsIWdO,Porta Voz das Quebradas,MC Rhamon,225608,23,0.948,0.702,9,-4.054,0,0.105,0.442,0.0,0.348,0.679,130.026,0,3.7601333333333335
5jTa7Nf1qj1fE3vc5ZKCkv,Não Sei de Nada,Mc Mãozinha,183797,0,0.874,0.54,3,-4.436,0,0.0509,0.753,0.0,0.0373,0.612,131.934,0,3.063283333333333
0eNyCrKg2BDMof7EKxmzuS,Vou de Bmw 2,Mc Mãozinha,180741,0,0.648,0.946,0,-5.342,1,0.317,0.0874,0.0,0.712,0.4,129.643,0,3.01235
5u8VHxmHSXYGI2LZwOUSbZ,Camisa 10,Mc Mãozinha,218071,0,0.615,0.787,7,-5.448,1,0.431,0.0749,0.0,0.157,0.308,88.781,0,3.634516666666667
5zuo9kH1Rj4GZbVGVGbXEW,4m Louco,Mc Mãozinha,177110,0,0.879,0.736,2,-5.107,1,0.296,0.156,0.0,0.0744,0.265,129.759,0,2.9518333333333335
644PiGkSHHQbUbvv0x2jTY,Chefe do Mastercard,Mc Kelvinho,205574,16,0.586,0.698,1,-4.099,0,0.341,0.15,0.0,0.0831,0.461,130.008,0,3.4262333333333332
6UVwyJ81pul0Vv8ACmhjGL,Nossa Melhor Façanha,Mc Dimenor,181746,25,0.776,0.657,1,-7.0,0,0.332,0.247,0.0,0.277,0.962,130.121,0,3.0291
1xGkVkgSbu76SZNSeqzKtT,Os Garoto Maroto,Mc Dimenor,153680,39,0.768,0.79,3,-4.298,0,0.374,0.461,0.0,0.125,0.801,129.983,0,2.5613333333333332
2keHonEjxImArjfnsRKpja,Agora os Bico Chora,Mc Jhojhow,158850,8,0.874,0.44,1,-7.416,0,0.0443,0.151,0.0,0.177,0.686,88.786,0,2.6475
6uQGWCkAF3rM1KpmyMlLHR,Desafio do Tum Dum,Mc Jhojhow,192052,20,0.883,0.823,8,-5.713,1,0.163,0.28,0.00101,0.0946,0.529,129.958,0,3.2008666666666667
7eNK2an9r40MB4C3rmG0r4,Desafio do Combate - DJ Gege Remix,Mc Nando Dk,226185,23,0.93,0.855,8,-4.776,1,0.259,0.395,9.22e-05,0.273,0.463,130.029,0,3.76975
4BneU84jzqyle9OnrFmNAS,Treme Bunda,R1,157440,26,0.88,0.828,6,-0.531,0,0.0554,0.437,0.000136,0.145,0.768,94.991,0,2.624
3Bjjfv0UITE5tsERLD7AGz,Querida Ham Ham Cheguei,Mc Magrinho,222589,0,0.759,0.726,7,-6.906,1,0.438,0.301,0.0,0.39,0.399,130.318,0,3.7098166666666668
57MTKK5gvKQXkx1XDcu5Wg,Passinho de Romano,Mc Magrinho,192679,0,0.804,0.845,6,-6.798,0,0.282,0.195,3.57e-05,0.255,0.685,130.179,0,3.211316666666667
7utU6IzPKNXXciRT8YKwmy,Eu Sou Patrão Não Funcionário,Menor do Chapa,159973,48,0.919,0.914,10,-2.441,0,0.408,0.507,0.0,0.0548,0.847,130.057,0,2.6662166666666667
0BcyEKVj3v4COQuBxiIejb,Humildade e Disciplina,Menor do Chapa,135497,39,0.688,0.643,6,-11.742,1,0.331,0.476,0.0,0.515,0.841,128.024,0,2.2582833333333334
5zesnX8rJ9W1WiFa64lH0H,Firma Milionária,Menor do Chapa,210520,45,0.943,0.946,5,1.295,0,0.301,0.27,0.0,0.0475,0.965,130.179,0,3.5086666666666666
2WqwoGVFLwHiI5qFe8Gknt,Vida Louca,Menor do Chapa,179706,0,0.945,0.788,6,-7.302,0,0.197,0.469,0.0,0.123,0.927,129.003,0,2.9951
