id,name,artists,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,y,duration_min
2Zi27tBhXnDQTz3porgaiw,Here Without You - Acoustic Version,3 Doors Down,232013,57,0.551,0.574,10,-6.265,0,0.0263,0.0203,0.0,0.186,0.308,143.734,1,3.8668833333333335
3AA8xNhDC0MpqwkGX3EP5V,If I Ever Feel Better,Phoenix,266600,65,0.755,0.553,6,-9.449,0,0.107,0.0492,0.00607,0.0646,0.836,119.7,1,4.443333333333333
4HqU80xAozomP0XtgxAu6w,Budapest - Live from Spotify Stockholm,George Ezra,209306,42,0.678,0.291,4,-10.339,1,0.0437,0.818,6.08e-05,0.706,0.497,121.092,1,3.4884333333333335
59XNy4523UcEvQfYM8fdQB,Somebody Told Me,The Killers,197160,0,0.51,0.981,10,-3.191,0,0.0901,7.76e-05,0.00142,0.111,0.723,138.039,1,3.286
7yq4Qj7cqayVTp3FF9CWbm,Riptide,Vance Joy,204280,78,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,1,3.4046666666666665
2iXdwVdzA0KrI2Q0iZNJbX,Better Together,Jack Johnson,207680,73,0.871,0.346,5,-9.481,1,0.0522,0.298,9.24e-06,0.108,0.659,110.054,1,3.461333333333333
0BgbobvykXxEvxo2HhCuvM,Banana Pancakes,Jack Johnson,191906,69,0.814,0.373,7,-8.017,1,0.116,0.602,1.7e-05,0.0931,0.632,114.548,1,3.1984333333333335
1dnXuEuApvuVqQCn0v9McL,"Sitting, Waiting, Wishing",Jack Johnson,183720,65,0.766,0.547,0,-7.25,1,0.0264,0.229,1.5e-05,0.104,0.556,105.01,1,3.062
1A4WjuUXeFEVXjwgc7eVZ6,Good People,Jack Johnson,208506,62,0.721,0.586,11,-5.999,1,0.034,0.204,2.21e-05,0.0902,0.918,176.104,1,3.4751
2Z2vOukzwOgqR4dkymRSWd,Santeria,Sublime,183160,52,0.67,0.753,1,-5.058,0,0.0387,0.0208,2.74e-06,0.147,0.551,90.385,1,3.0526666666666666
2qLMf6TuEC3ruGJg4SMMN6,Lucky,Jason Mraz,189613,68,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,1,3.1602166666666665
1lkvpmrCaXK8QtliFDcHBO,Bubbly,Colbie Caillat,196226,70,0.688,0.477,9,-6.684,1,0.036,0.594,0.0,0.115,0.257,127.866,1,3.2704333333333335
