id,name,artists
73jLhrKOby9QOBdAdpnsOl,La Casa,Caramelos De Cianuro
029E08M0uTKTk4kgHrAeNF,Azul Oscuro,Zurdok
1hVQx6bg4uKPljAUkNjpY2,Your Song,Ellie Goulding
1rGxG6Y5OgmSwGPRPJv9Q4,True Colours,Tom Odell
7vgIGcKJDS0sJLajb9iV6U,Asi Es La Vida,Glup!
5HMLzZJYj3gRo2ulIBSC5d,Algo Tiene,Natalie Perez
4e5rVnBWDSwYLSXkMO6ljE,Everybody Wants To Rule The World - From “The Hunger Games: Catching Fire” Soundtrack,Lorde
1KHGSJPHiHkG2FEGFy8fLc,Pompeii,Jasmine Thompson
1MQTPiAPGHdMFVYUYWGOb3,Happy,Gardiner Sisters
6Pbh08Uo0o51ha2JOW8KtE,Photograph (feat. Bea Miller),Boyce Avenue
5Xh97PTcc1LxMF8sc8Xhis,Feel It Still - Recorded at Spotify Studios NYC,Portugal. The Man
3I1Q076OHNPGVsZvrZ0s7V,Pompeii - Acoustic Ballad Mix,Matt Johnson
4aWmUDTfIPGksMNLV2rQP2,Despacito (Featuring Daddy Yankee),Luis Fonsi
7IQ7Tk8D6fFAgl6aL7u5ia,Rude (Acoustic),MAGIC!
7FnHpKPgVC6GE0RRCJNB2T,"Somewhere Only We know - Live from Spotify, London",Lily Allen
10BpvV0IRrd7D0gtHrBTN2,Rubia Sol Morena Luna,Caramelos De Cianuro
2SIIuUwWHDxiv5xpMDpju6,Big Love,Gossling
0xAtTbEiqOQpSZhTsOregK,Enjoy The Silence,Carla Bruni
